node,distance
0,0
1,1793
2,2658
3,2027
4,2253
5,2350
6,1917
7,1304
8,2385
9,1269
10,1478
11,2223
12,1764
13,713
14,1910
15,2069
16,2079
17,1845
18,1257
19,1369
20,2541
21,1780
22,1620
23,1839
24,1705
25,2122
26,1917
27,1594
28,2317
29,2124
30,1216
31,2111
32,1510
33,1288
34,2548
35,2935
36,1393
37,-1
38,1604
39,1673
40,2044
41,1519
42,-1
43,2074
44,2233
45,1534
46,2190
47,2432
48,1326
49,2317
50,1757
51,1361
52,2030
53,2141
54,2035
55,2054
56,1837
57,1176
58,-1
59,1698
60,2003
61,2094
62,1503
63,1418
64,1960
65,1596
66,1830
67,1993
68,1674
69,1078
70,1134
71,2493
72,1631
73,2276
74,1273
75,1736
76,1647
77,1896
78,2122
79,1842
80,1935
81,1754
82,1356
83,2028
84,2098
85,2158
86,1966
87,1846
88,1138
89,1876
90,1960
91,1520
92,1481
93,1935
94,2023
95,1933
96,1577
97,2128
98,1895
99,1382
100,1612
101,2000
102,1439
103,778
104,1687
105,2034
106,2017
107,1637
108,1867
109,1973
110,2495
111,2603
112,-1
113,1944
114,1504
115,-1
116,1860
117,1697
118,902
119,1575
120,2393
121,1734
122,1708
123,1675
124,1883
125,1364
126,2689
127,1839
128,1429
129,2245
130,2065
131,1449
132,2462
133,2421
134,3105
135,2380
136,2375
137,1740
138,2254
139,1897
140,1615
141,2355
142,1692
143,1083
144,2085
145,1930
146,1577
147,2084
148,1831
149,1615
150,2042
151,2333
152,1727
153,2143
154,1815
155,1795
156,2084
157,-1
158,2231
159,1904
160,1804
161,2224
162,1963
163,2847
164,1505
165,1889
166,1403
167,1809
168,1963
169,1377
170,1874
171,1675
172,2129
173,2288
174,1282
175,1784
176,2167
177,1589
178,1957
179,2205
180,1236
181,993
182,1239
183,1965
184,1652
185,1610
186,1910
187,2961
188,1970
189,1887
190,1823
191,2163
192,2434
193,1897
194,1876
195,1386
196,1902
197,2367
198,1784
199,2075
200,1689
201,1669
202,2973
203,2176
204,1427
205,1993
206,1112
207,1492
208,1919
209,-1
210,1941
211,1548
212,1377
213,1752
214,1179
215,1650
216,1530
217,1814
218,2223
219,2033
220,904
221,2198
222,1889
223,2241
224,1071
225,2453
226,1893
227,1679
228,1641
229,2191
230,2109
231,1810
232,2096
233,1879
234,2185
235,2322
236,1965
237,1678
238,1771
239,1731
240,2107
241,2068
242,1693
243,1568
244,3360
245,1721
246,1909
247,1743
248,1589
249,1970
250,1809
251,2048
252,2218
253,1796
254,1818
255,2134
256,2061
257,1665
258,1370
259,2474
260,2274
261,3224
262,2694
263,2021
264,2508
265,1535
266,1503
267,1849
268,1370
269,1571
270,2040
