update_id,op_type,edge_u,edge_v,old_w,new_w,dist_from_source,affected_nodes,affected_edges,delta_size,time_us,normalized_time,dijkstra_match
1,W+,0,1048577,15929,31858,0,2,4,6,7,0.451328,1
2,W-,1055144,1055145,10536,5268,1177144,0,0,0,3,0,1
3,DEL,2098589,3551,5678,0,1672302,6920,35626,42546,2767,0.00422947,1
4,INS,2120334,1105991,0,100,2110857,0,0,0,16,0,1
5,W+,3514862,3514861,844,1688,2534181,0,0,0,2,0,1
6,W-,1088137,2113127,10011,5005,2827455,15,84,99,43,0.0655182,1
7,DEL,211525,211526,215,0,3144335,0,0,0,4,0,1
8,INS,2138791,103181,0,100,3261365,126,575,701,57,0.00860151,1
9,W+,5525334,5525335,6773,13546,3339730,0,0,0,4,0,1
10,W-,1116638,68052,1663,831,3440977,45,270,315,59,0.0225686,1
11,DEL,61311,1109911,1190,0,3560254,0,0,0,22,0,1
12,INS,137007,1259710,0,100,3748405,0,0,0,23,0,1
13,W+,2179977,1253815,2901,5802,4003141,0,0,0,3,0,1
14,W-,1154297,2139849,131,65,4203105,0,0,0,5,0,1
15,DEL,2163688,164891,2036,0,4441020,0,0,0,30,0,1
16,INS,1967017,918428,0,100,4721950,104060,531153,635213,27213,0.00222239,1
17,W+,3583975,4538204,1548,3096,4994032,2,4,6,23,1.48294,1
18,W-,893951,1942508,3238,1619,5190009,0,0,0,5,0,1
19,DEL,1011306,1011305,1091,0,5439929,0,0,0,3,0,1
20,INS,5456816,5456816,0,100,5683720,0,0,0,4,0,1
21,W+,4127945,3106194,675,1350,5958386,8,40,48,29,0.108177,1
22,W-,4488884,3521157,924,462,6152792,0,0,0,3,0,1
23,DEL,4525288,3567523,7622,0,6301470,0,0,0,3,0,1
24,INS,4674089,3757058,0,100,6472162,1,5,6,5,0.322377,1
25,W+,575365,575135,1597,3194,6753090,1830,9016,10846,692,0.00475964,1
26,W-,2514296,2082250,1173,586,6948810,0,0,0,3,0,1
27,DEL,2089594,2089593,3547,0,7105930,365,1923,2288,190,0.00744112,1
28,INS,4153918,3121680,0,100,7251259,10191,52283,62474,2536,0.00254805,1
29,W+,4111687,4111734,3234,6468,7367255,2,4,6,7,0.451328,1
30,W-,1721394,2368638,1593,796,7505291,0,0,0,2,0,1
31,DEL,671913,2367918,775,0,7654592,253,1638,1891,150,0.00728742,1
32,INS,5549185,5549188,0,100,7778668,0,0,0,3,0,1
33,W+,5511013,5502895,65,130,7893254,0,0,0,15,0,1
34,W-,2020861,2020860,700,350,7975332,8,42,50,7,0.0248057,1
35,DEL,5349173,5349172,2076,0,8041931,0,0,0,5,0,1
36,INS,1645943,597459,0,100,8101169,1,5,6,4,0.257902,1
37,W+,1644633,596132,1343,2686,8160317,0,0,0,2,0,1
38,W-,898410,2459670,770,385,8230119,14,80,94,15,0.0243455,1
39,DEL,1936692,1936693,889,0,8292402,0,0,0,17,0,1
40,INS,2335564,590920,0,100,8354549,14,67,81,9,0.0175258,1
41,W+,1700136,1702519,921,1842,8435144,0,0,0,3,0,1
42,W-,1477032,428526,1385,692,8513527,191,942,1133,63,0.00548048,1
43,DEL,5394760,5053347,1545,0,8585196,3,9,12,5,0.116226,1
44,INS,2019068,2488779,0,100,8649607,9,43,52,7,0.0236149,1
45,W+,3079425,4929411,781,1562,8721630,0,0,0,3,0,1
46,W-,1593680,1593679,1629,814,8780712,0,0,0,2,0,1
47,DEL,998458,2047413,1410,0,8832119,0,0,0,29,0,1
48,INS,2370946,2370935,0,100,8876783,0,0,0,5,0,1
49,W+,4151208,4151209,714,1428,8925588,0,0,0,3,0,1
50,W-,2307833,1570643,1117,558,8974392,0,0,0,24,0,1
51,DEL,2251544,382655,277,0,9017363,0,0,0,4,0,1
52,INS,1585842,1585844,0,100,9068961,26,163,189,16,0.0111946,1
53,W+,2274474,1487976,998,1996,9134434,0,0,0,3,0,1
54,W-,409964,1458460,1301,650,9210065,0,0,0,3,0,1
55,DEL,871694,1920284,3223,0,9314275,0,0,0,3,0,1
56,INS,4986573,4155059,0,100,9425720,348,1665,2013,121,0.00547686,1
57,W+,5421511,5421609,438,876,9534878,6,32,38,5,0.0250726,1
58,W-,354469,2240197,986,493,9659008,0,0,0,29,0,1
59,DEL,4299807,2600376,553,0,9770868,0,0,0,3,0,1
60,INS,355092,2240439,0,100,9917199,0,0,0,5,0,1
61,W+,4652249,2868271,200,400,10101452,2418,11260,13678,930,0.00494866,1
